"category","state","votes"
"Solid D","California",54
"Solid D","Colorado",10
"Solid D","Connecticut",7
"Solid D","Delaware",3
"Solid D","Dist. of Columbia",3
"Solid D","Hawaii",4
"Solid D","Illinois",19
"Solid D","Maine(01)",1
"Solid D","Maryland",10
"Solid D","Massachusetts",11
"Solid D","New Jersey",14
"Solid D","New York",28
"Solid D","Oregon",8
"Solid D","Rhode Island",4
"Solid D","Vermont",3
"Solid D","Washington",12
"Likely D","Maine",2
"Likely D","Minnesota",10
"Likely D","New Hampshire",4
"Likely D","New Mexico",5
"Likely D","Virginia",13
"Lean D","Nebraska(02)",1
"Toss Up","Arizona",11
"Toss Up","Georgia",16
"Toss Up","Michigan",15
"Toss Up","Nevada",6
"Toss Up","North Carolina",16
"Toss Up","Pennsylvania",19
"Toss Up","Wisconsin",10
"Likely R","Florida",30
"Likely R","Maine(02)",1
"Likely R","Texas",40
"Solid R","Alabama",9
"Solid R","Alaska",3
"Solid R","Arkansas",6
"Solid R","Idaho",4
"Solid R","Indiana",11
"Solid R","Iowa",6
"Solid R","Kansas",6
"Solid R","Kentucky",8
"Solid R","Louisiana",8
"Solid R","Mississippi",6
"Solid R","Missouri",10
"Solid R","Montana",4
"Solid R","Nebraska",2
"Solid R","Nebraska(01)",1
"Solid R","Nebraska(03)",1
"Solid R","North Dakota",3
"Solid R","Ohio",17
"Solid R","Oklahoma",7
"Solid R","South Carolina",9
"Solid R","South Dakota",3
"Solid R","Tennessee",11
"Solid R","Utah",6
"Solid R","West Virginia",4
"Solid R","Wyoming",3
